ID,Place,Postcode,Address,ATM Type,Location Type,Line Capacity,Migration,KeyHolder / SVA,Total Location,Latitude,Longitude
S1E440,CASTRICUM,1901 EN,DORPSSTRAAT 76,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, CASTRICUM, DORPSSTRAAT 76",52.5472945,4.6651635
S1N225,CASTRICUM,1901 EN,DORPSSTRAAT 76,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, CASTRICUM, DORPSSTRAAT 76",52.5472945,4.6651635
S1I499,COEVORDEN,7741 GC,KASTEEL 5,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, COEVORDEN, KASTEEL 5",52.6616976,6.7412858
S1K400,COEVORDEN,7741 GC,KASTEEL 5,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, COEVORDEN, KASTEEL 5",52.6616976,6.7412858
S1M434,CUYK,5431 DH,GROTESTRAAT 29,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, CUYK, GROTESTRAAT 29",51.7286503,5.8821289
S1M486,CULEMBORG,4102 CV,CHOPINPLEIN 11,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, CULEMBORG, CHOPINPLEIN 11",51.9521902,5.238116
S1G419,CULEMBORG,4101 BW,MARKT 11,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, CULEMBORG, MARKT 11",51.9578686,5.2246942
S1G426,CULEMBORG,4101 BW,MARKT 11,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, CULEMBORG, MARKT 11",51.9578686,5.2246942
S1F479,DEDEMSVAART,7701 GJ,JULIANASTRAAT 31,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DEDEMSVAART, JULIANASTRAAT 31",52.6021135,6.4582327
S1V427,DELFZIJL,9934 BK,LANDSTRAAT 81,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFZIJL, LANDSTRAAT 81",53.3329712,6.9244164
S1C414,DELFZIJL,9934 BK,LANDSTRAAT 81,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFZIJL, LANDSTRAAT 81",53.3329712,6.9244164
S1M269,DELFZIJL,9934 BK,LANDSTRAAT 81,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFZIJL, LANDSTRAAT 81",53.3329712,6.9244164
S1M264,DELFZIJL,9934 BK,LANDSTRAAT 81,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFZIJL, LANDSTRAAT 81",53.3329712,6.9244164
S1W272,DELFT,2628 CC,MEKELWEG 3,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFT, MEKELWEG 3",52.0024867,4.3722448
S1F279,DELFT,2611 GR,MARKT 55,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFT, MARKT 55",52.0114298,4.3594114
S1E237,DELFT,2611 GR,MARKT 55,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFT, MARKT 55",52.0114298,4.3594114
S1F466,DELFT,2624 ES,MARTINUS NIJHOFFLAAN 2,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFT, MARTINUS NIJHOFFLAAN 2",51.9974078,4.35422
S1F416,DELFT,2624 ES,MARTINUS NIJHOFFLAAN 2,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFT, MARTINUS NIJHOFFLAAN 2",51.9974078,4.35422
S1K442,DELFT,2611 MD,PYNEPOORT 11,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFT, PYNEPOORT 11",52.0099966,4.3639966
S1K441,DELFT,2611 MD,PYNEPOORT 11,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFT, PYNEPOORT 11",52.0099966,4.3639966
S1K491,DELFT,2611 MD,PYNEPOORT 11,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFT, PYNEPOORT 11",52.0099966,4.3639966
S1K490,DELFT,2611 MD,PYNEPOORT 11,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DELFT, PYNEPOORT 11",52.0099966,4.3639966
S1E459,DELFT,2627 AR,SCHIEWEG 104,2000,OP,1M,MANUAL - ATM Type,SVA (frontloader),"Netherlands, DELFT, SCHIEWEG 104",51.9835659,4.3703041
S1Y242,DELFZIJL,9934 BC,WILLEMSTRAAT 26,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFZIJL, WILLEMSTRAAT 26",53.3326989,6.9289431
S1A467,DELFT,2611 AZ,WESTVEST 38,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELFT, WESTVEST 38",52.0079493,4.3576396
S1H173,DELDEN,7491 AM,ZUIDWAL 32,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DELDEN, ZUIDWAL 32",52.2624436,6.7137291
S1M451,DENEKAMP,7591 DG,EUROWERFT 19,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DENEKAMP, EUROWERFT 19",52.3758347,7.0061753
S1I183,DEURNE,5751 BE,MARKT 10,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DEURNE, MARKT 10",51.4640952,5.7952907
S1H432,DEURNE,5751 BE,MARKT 10,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DEURNE, MARKT 10",51.4640952,5.7952907
S1Y412,DEVENTER,7422 LN,FLORA 1,4560,OP,3G (Mobile),MANUAL - 3G Mobile,Keyholder,"Netherlands, DEVENTER, FLORA 1",52.2477356,6.2181452
S1W490,DEVENTER,7415 DH,KAREL DE GROTEPLEIN 4,2050,OP,3G (Mobile),MANUAL - 3G Mobile,SVA (SIOC),"Netherlands, DEVENTER, KAREL DE GROTEPLEIN 4",52.2693187,6.1649718
S1W213,DEVENTER,7411 HX,VERZETSLAAN 20,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DEVENTER, VERZETSLAAN 20",52.2547555,6.1627331
S1F419,DEVENTER,7411 HX,VERZETSLAAN 20,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DEVENTER, VERZETSLAAN 20",52.2547555,6.1627331
S1Y451,DEVENTER,7411 HX,VERZETSLAAN 20,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DEVENTER, VERZETSLAAN 20",52.2547555,6.1627331
S1F438,DIDAM,6942 BP,LIEVE VROUWEPLEIN 1,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DIDAM, LIEVE VROUWEPLEIN 1",51.9371316,6.1280898
S1M400,DIEREN,6951 CP,CALLUNAPLEIN 2,4560,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DIEREN, CALLUNAPLEIN 2",52.0496458,6.1011731
S1F499,DIEREN,6951 CP,CALLUNAPLEIN 2,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DIEREN, CALLUNAPLEIN 2",52.0496458,6.1011731
S1K408,DIEMEN,1111 CJ,WILHELMINAPLANTSOEN 5,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DIEMEN, WILHELMINAPLANTSOEN 5",52.3410083,4.9623294
S1H424,DIEMEN,1111 CJ,WILHELMINAPLANTSOEN 5,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DIEMEN, WILHELMINAPLANTSOEN 5",52.3410083,4.9623294
S1H168,DINXPERLO,7091 CS,DR. VAN DER MEERSTRAAT 2,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DINXPERLO, DR. VAN DER MEERSTRAAT 2",51.8622881,6.487341
S1M274,DOETINCHEM,7001 DV,DOKTER BARDETPLAATS 1A,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DOETINCHEM, DOKTER BARDETPLAATS 1A",51.9672978,6.2958645
S1O455,DOETINCHEM,7002 KK,HOUTSMASTRAAT 158,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DOETINCHEM, HOUTSMASTRAAT 158",51.9733934,6.3158252
S1V414,DOESBURG,6981 CK,KERKSTRAAT 13 - 15,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DOESBURG, KERKSTRAAT 13 - 15",52.0146514,6.1348095
S1E425,DOETINCHEM,7005 BA,TERBORGSEWEG 4,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DOETINCHEM, TERBORGSEWEG 4",51.9633682,6.2909121
S1I447,DOETINCHEM,7005 BA,TERBORGSEWEG 4,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DOETINCHEM, TERBORGSEWEG 4",51.9633682,6.2909121
S1W270,DOETINCHEM,7005 BA,TERBORGSEWEG 4,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DOETINCHEM, TERBORGSEWEG 4",51.9633682,6.2909121
S1G441,DOKKUM,9101 JJ,AALSUMERPOORT 5A,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DOKKUM, AALSUMERPOORT 5A",53.3279338,6.0003667
S1J481,DONGEN,5104 JC,HOGE HAM 85,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DONGEN, HOGE HAM 85",51.6286639,4.9399574
S1Q238,DONGEN,5104 HV,LOOIERSHOF 1,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DONGEN, LOOIERSHOF 1",51.6250889,4.9426512
S1C474,DOORN,3941 JT,RAADHUISPLEIN 1,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DOORN, RAADHUISPLEIN 1",52.033433,5.3437182
S1C475,DOORN,3941 JT,RAADHUISPLEIN 1,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DOORN, RAADHUISPLEIN 1",52.033433,5.3437182
S1Y239,DORDRECHT,3317 BC,ADMIRAALSPLEIN 162,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, ADMIRAALSPLEIN 162",51.7910413,4.653654
S1N469,DORDRECHT,3314 GR,BROUWERSDIJK 34,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, BROUWERSDIJK 34",51.8025892,4.6588199
S1E216,DORDRECHT,3315 KW,VAN EESTERENPLEIN 250,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, VAN EESTERENPLEIN 250",51.803241,4.7158203
S1G131,DORDRECHT,3312 CG,KROMMEDIJK 2A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, KROMMEDIJK 2A",51.8089208,4.6784821
S1V444,DORDRECHT,3318 JW,P.A. DE KOKPLEIN 160,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DORDRECHT, P.A. DE KOKPLEIN 160",51.7853675,4.6765017
S1C298,DORDRECHT,3313 GT,MERWEDESTRAAT 257,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, MERWEDESTRAAT 257",51.8172489,4.7011214
S1E228,DORDRECHT,3317 ES,VAN OLDENBARNEVELTPLEIN 63 - 64,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, VAN OLDENBARNEVELTPLEIN 63 - 64",51.791289,4.664409
S1J461,DORDRECHT,3319 GR,RECHTE ZANDWEG 2,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DORDRECHT, RECHTE ZANDWEG 2",51.7949285,4.7043164
S1I445,DORDRECHT,3311 NH,STATENPLEIN 72,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, STATENPLEIN 72",51.8139936,4.6692418
S1I494,DORDRECHT,3311 NH,STATENPLEIN 72,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, STATENPLEIN 72",51.8139936,4.6692418
S1I444,DORDRECHT,3311 NH,STATENPLEIN 72,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DORDRECHT, STATENPLEIN 72",51.8139936,4.6692418
S1I470,DORDRECHT,3311 JW,STATIONSWEG 2,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DORDRECHT, STATIONSWEG 2",51.8087523,4.6685228
S1V425,DORDRECHT,3311 JW,STATIONSWEG 2,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DORDRECHT, STATIONSWEG 2",51.8087523,4.6685228
S1V475,DORDRECHT,3311 JW,STATIONSWEG 2,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DORDRECHT, STATIONSWEG 2",51.8087523,4.6685228
S1F211,DORDRECHT,3311 JW,STATIONSWEG 2,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DORDRECHT, STATIONSWEG 2",51.8087523,4.6685228
S1Y253,DRACHTEN,9203 AL,NOORDERBUURT 27,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, DRACHTEN, NOORDERBUURT 27",53.1078598,6.0973304
S1Y264,DRACHTEN,9203 KK,BURG. WUITEWEG 12,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DRACHTEN, BURG. WUITEWEG 12",53.103741,6.0980461
S1J437,DRACHTEN,9203 KK,BURG. WUITEWEG 12,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, DRACHTEN, BURG. WUITEWEG 12",53.103741,6.0980461
S1C421,DRIEBERGEN,3971 KE,HOOFDSTRAAT 101,4560,OP,"1M, 100M",MANUAL - Multiple Lines,Keyholder,"Netherlands, DRIEBERGEN, HOOFDSTRAAT 101",52.0528685,5.2815333
S1J473,DRONTEN,8251 EV,DE REDE 2 - 4,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DRONTEN, DE REDE 2 - 4",52.5234307,5.7161621
S1F414,DRUNEN,5151 BK,GROTESTRAAT 135,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DRUNEN, GROTESTRAAT 135",51.6860005,5.132813
S1W455,DRUTEN,6651 AM,KATTENBURG 43,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DRUTEN, KATTENBURG 43",51.8917967,5.609234
S1V480,DUIVEN,6921 AH,RIJKSWEG 48A,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DUIVEN, RIJKSWEG 48A",51.9497215,6.0241761
S1V293,ECHT,6101 EJ,BOVENSTESTRAAT 111,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ECHT, BOVENSTESTRAAT 111",51.1029764,5.8664041
S1E491,ECHT,6101 EJ,BOVENSTESTRAAT 111,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ECHT, BOVENSTESTRAAT 111",51.1029764,5.8664041
S1L147,EDE,6711 GP,ARNHEMSEWEG 7,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EDE, ARNHEMSEWEG 7",52.0437379,5.6716638
S1K466,EDE,6711 GP,ARNHEMSEWEG 7,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EDE, ARNHEMSEWEG 7",52.0437379,5.6716638
S1W298,EDE,6711 GP,ARNHEMSEWEG 7,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EDE, ARNHEMSEWEG 7",52.0437379,5.6716638
S1L131,EDE,6711 GP,ARNHEMSEWEG 7,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EDE, ARNHEMSEWEG 7",52.0437379,5.6716638
S1W259,EDE,6714 DP,BELLESTEIN 113,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EDE, BELLESTEIN 113",52.0416361,5.6446246
S1H477,EDE,6716 RH,STADSPOORT 42,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EDE, STADSPOORT 42",52.0182318,5.6496732
S1M493,EERBEEK,6961 CW,STUYVENBURCHSTRAAT 50,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, EERBEEK, STUYVENBURCHSTRAAT 50",52.1054426,6.065092
S1G187,EGMOND AAN ZEE,1931 AK,VOORSTRAAT 127,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EGMOND AAN ZEE, VOORSTRAAT 127",52.6179155,4.6234598
S1V487,EIBERGEN,7151 CR,BRINK 22,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, EIBERGEN, BRINK 22",52.1022057,6.6483576
S1V470,EINDHOVEN,5615 CH,AALSTERWEG 92,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, EINDHOVEN, AALSTERWEG 92",51.4257336,5.4858376
S1N234,EINDHOVEN,5627 LE,BIARRITZPLEIN 17,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, BIARRITZPLEIN 17",51.4830611,5.4485353
S1L115,EINDHOVEN,5656 AA,PROF.HOLSTLAAN 4,2000,BZK,TO BE CLOSED,MANUAL - ATM Type,SVA (frontloader),"Netherlands, EINDHOVEN, PROF.HOLSTLAAN 4",51.4104513,5.4573948
S1F250,EINDHOVEN,5654 NB,HOOGSTRAAT 321,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, HOOGSTRAAT 321",51.423994,5.4619784
S1H159,EINDHOVEN,5654 NB,HOOGSTRAAT 321,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, HOOGSTRAAT 321",51.423994,5.4619784
S1O406,EINDHOVEN,5643 KK,HEEZERWEG 268,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, HEEZERWEG 268",51.4238343,5.4979322
S1F265,EINDHOVEN,5653 LR,KASTELENPLEIN 82,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, KASTELENPLEIN 82",51.4188244,5.4392707
S1E223,EINDHOVEN,5612 CM,KRUISSTRAAT 144,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, KRUISSTRAAT 144",51.4495179,5.4741048
S1F219,EINDHOVEN,5612 CM,KRUISSTRAAT 144,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, KRUISSTRAAT 144",51.4495179,5.4741048
S1C275,EINDHOVEN,5652 AA,LIMBURGLAAN 2,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, LIMBURGLAAN 2",51.4353588,5.4510891
S1V250,EINDHOVEN,5611 EB,MARKT 1,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, MARKT 1",51.4396275,5.4787069
S1V251,EINDHOVEN,5611 EB,MARKT 1,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, MARKT 1",51.4396275,5.4787069
S1V249,EINDHOVEN,5611 EB,MARKT 1,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, MARKT 1",51.4396275,5.4787069
S1N413,EINDHOVEN,5611 EA,MARKT 23B,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, MARKT 23B",51.3863368,5.4444339
S1A443,EINDHOVEN,5613 DV,TONGELRESESTRAAT 256A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, TONGELRESESTRAAT 256A",51.4419448,5.5015632
S1N463,EINDHOVEN,5632 KG,TARWELAAN 66A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, TARWELAAN 66A",51.476935,5.4937767
S1O456,EINDHOVEN,5616 GZ,SINT TRUDOPLEIN 6,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, SINT TRUDOPLEIN 6",51.4416563,5.4553341
S1N222,EINDHOVEN,5611 CC,VESTDIJK 18,2050,BZK,200M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, VESTDIJK 18",51.4400034,5.4801416
S1N221,EINDHOVEN,5611 CC,VESTDIJK 18,2050,BZK,200M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, VESTDIJK 18",51.4400034,5.4801416
S1V230,EINDHOVEN,5611 CC,VESTDIJK 18,4560,BZK,200M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, VESTDIJK 18",51.4400034,5.4801416
S1I407,EINDHOVEN,5611 CC,VESTDIJK 18,4560,BZK,200M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, VESTDIJK 18",51.4400034,5.4801416
S1O289,EINDHOVEN,5611 GE,WAL 15,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, WAL 15",51.4360132,5.4789687
S1O288,EINDHOVEN,5611 GE,WAL 15,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, WAL 15",51.4360132,5.4789687
S1C456,EINDHOVEN,5625 AG,WINKELCENTRUM WOENSEL 120,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, WINKELCENTRUM WOENSEL 120",51.4679534,5.4744567
S1C455,EINDHOVEN,5625 AG,WINKELCENTRUM WOENSEL 120,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, WINKELCENTRUM WOENSEL 120",51.4679534,5.4744567
S1C454,EINDHOVEN,5625 AG,WINKELCENTRUM WOENSEL 120,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, WINKELCENTRUM WOENSEL 120",51.4679534,5.4744567
S1H447,EINDHOVEN,5625 AG,WINKELCENTRUM WOENSEL 120,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EINDHOVEN, WINKELCENTRUM WOENSEL 120",51.4679534,5.4744567
S1G197,EINDHOVEN,5652 EL,ZEELSTERSTRAAT 80,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EINDHOVEN, ZEELSTERSTRAAT 80",51.4383141,5.4437598
S1A415,ELBURG,8081 NK,VOORONDER 2,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ELBURG, VOORONDER 2",52.4520797,5.8541675
S1F449,ELST,6661 EG,DORPSSTRAAT 53,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ELST, DORPSSTRAAT 53",51.9185252,5.8465452
S1H452,ELST,6661 EG,DORPSSTRAAT 53,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ELST, DORPSSTRAAT 53",51.9185252,5.8465452
S1Y277,EMMELOORD,8302 EJ,DE DEEL 9 - 10 - 11,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EMMELOORD, DE DEEL 9 - 10 - 11",52.710641,5.7540124
S1W236,EMMELOORD,8302 EJ,DE DEEL 9 - 10 - 11,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EMMELOORD, DE DEEL 9 - 10 - 11",52.710641,5.7540124
S1G114,EMMEN,7811 HJ,BAANDER 32,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EMMEN, BAANDER 32",52.7818128,6.893427
S1M281,EMMEN,7811 HJ,BAANDER 32,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EMMEN, BAANDER 32",52.7818128,6.893427
S1V428,EMMEN,7811 HJ,BAANDER 32,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EMMEN, BAANDER 32",52.7818128,6.893427
S1G115,EMMEN,7811 HJ,BAANDER 32,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, EMMEN, BAANDER 32",52.7818128,6.893427
S1L127,EMMEN,7824 CX,STATENWEG 55A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, EMMEN, STATENWEG 55A",52.7795761,6.9209817
S1N449,ENKHUIZEN,1602 NK,KOPERWIEKPLEIN 14A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENKHUIZEN, KOPERWIEKPLEIN 14A",52.7128246,5.2765292
S1V468,ENKHUIZEN,1601 HB,VENEDIE 8-10,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, ENKHUIZEN, VENEDIE 8-10",52.7030319,5.2899075
S1H141,ENSCHEDE,7522 CL,DEURNINGERSTRAAT 224A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENSCHEDE, DEURNINGERSTRAAT 224A",52.2325448,6.887692
S1M460,ENSCHEDE,7511 DV,OLDENZAALSESTRAAT 1A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENSCHEDE, OLDENZAALSESTRAAT 1A",52.2172588,6.8999075
S1M459,ENSCHEDE,7511 DV,OLDENZAALSESTRAAT 1A,4560,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENSCHEDE, OLDENZAALSESTRAAT 1A",52.2172588,6.8999075
S1M410,ENSCHEDE,7511 DV,OLDENZAALSESTRAAT 1A,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENSCHEDE, OLDENZAALSESTRAAT 1A",52.2172588,6.8999075
S1Q289,ENSCHEDE,7511 HA,LANGESTRAAT 23,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENSCHEDE, LANGESTRAAT 23",52.2190886,6.8970753
S1J452,ENSCHEDE,7545 NP,WETH. NIJHUISSTRAAT T/O 242,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, ENSCHEDE, WETH. NIJHUISSTRAAT T/O 242",52.2113058,6.8631155
S1D473,ENSCHEDE,7511 GA,OUDE MARKT 9,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, ENSCHEDE, OUDE MARKT 9",52.2210161,6.8948669
S1O244,ENSCHEDE,7511 JD,STATIONSPLEIN 8,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ENSCHEDE, STATIONSPLEIN 8",52.2219194,6.8912237
S1H121,ENSCHEDE,7511 JD,STATIONSPLEIN 8,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ENSCHEDE, STATIONSPLEIN 8",52.2219194,6.8912237
S1I403,ENSCHEDE,7511 JD,STATIONSPLEIN 8,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ENSCHEDE, STATIONSPLEIN 8",52.2219194,6.8912237
S1M205,ENSCHEDE,7511 JD,STATIONSPLEIN 8,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ENSCHEDE, STATIONSPLEIN 8",52.2219194,6.8912237
S1O243,ENSCHEDE,7511 JD,STATIONSPLEIN 8,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, ENSCHEDE, STATIONSPLEIN 8",52.2219194,6.8912237
S1W403,ENSCHEDE,7544 JA,WESSELER-NERING 2I,4560,OP,"100M, 1M",MANUAL - Multiple Lines,Keyholder,"Netherlands, ENSCHEDE, WESSELER-NERING 2I",52.1914816,6.8804368
