ID,Place,Postcode,Address,ATM Type,Location Type,Line Capacity,Migration,KeyHolder / SVA,Total Location,Latitude,Longitude
S1I147,BALK,8561 BZ,WESTEIN 1A,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BALK, WESTEIN 1A",52.8964659,5.5783662
S1K434,BARENDRECHT,2992 KP,HENRY DUNANTLAAN 3,2550,BZK,100M,MANUAL - ATM Type,SVA (SIOC),"Netherlands, BARENDRECHT, HENRY DUNANTLAAN 3",51.8629819,4.535839
S1K483,BARENDRECHT,2992 KP,HENRY DUNANTLAAN 3,2550,BZK,100M,MANUAL - ATM Type,SVA (SIOC),"Netherlands, BARENDRECHT, HENRY DUNANTLAAN 3",51.8629819,4.535839
S1K484,BARENDRECHT,2992 KP,HENRY DUNANTLAAN 3,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BARENDRECHT, HENRY DUNANTLAAN 3",51.8629819,4.535839
S1E407,BARENDRECHT,2992 KP,HENRY DUNANTLAAN 3,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BARENDRECHT, HENRY DUNANTLAAN 3",51.8629819,4.535839
S1G111,BARENDRECHT,2993 EH,VAN BEUNINGENHAVEN 14,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BARENDRECHT, VAN BEUNINGENHAVEN 14",51.8469037,4.4985463
S1I481,BARNEVELD,3772 CZ,TORENPLEIN 63 - 65,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BARNEVELD, TORENPLEIN 63 - 65",52.1404046,5.5826699
S1P401,BARNEVELD,3772 CZ,TORENPLEIN 63 - 65,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BARNEVELD, TORENPLEIN 63 - 65",52.1404046,5.5826699
S1I432,BARNEVELD,3772 CZ,TORENPLEIN 63 - 65,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BARNEVELD, TORENPLEIN 63 - 65",52.1404046,5.5826699
S1V493,BEDUM,9781 CE,STATIONSWEG 1,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BEDUM, STATIONSWEG 1",53.3008008,6.5965413
S1W404,BEEK,6191 JX,MARKTSTRAAT 5,4560,OP,"100M, 1M",MANUAL - Multiple Lines,Keyholder,"Netherlands, BEEK, MARKTSTRAAT 5",50.9396709,5.7954993
S1D269,BEEK,6191 SB,VLIEGVELDWEG 90,2050,OP,"100M, 1M",MANUAL - Multiple Lines,SVA (SIOC),"Netherlands, BEEK, VLIEGVELDWEG 90",50.9153572,5.7688724
S1J257,BEEK,6191 NA,WETH. SANGERSTRAAT 101,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BEEK, WETH. SANGERSTRAAT 101",50.9491226,5.7925717
S1V439,BEMMEL,6681 BL,DORPSSTRAAT 41,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BEMMEL, DORPSSTRAAT 41",51.8912242,5.8983401
S1F473,BENNEKOM,6721 EZ,KERKHOFLAAN 6,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BENNEKOM, KERKHOFLAAN 6",51.9996548,5.6768681
